Manufacturer,Model,Year,Mileage,Condition,Price
Ford,Silverado,2014,105007,Excellent,22749.75
Honda,Altima,2010,131693,Excellent,25415.45
Toyota,Silverado,2022,125405,Excellent,13729.85
Chevrolet,Camry,2010,64157,Excellent,28792.25
Nissan,Altima,2022,137639,Excellent,13118.05
Ford,Altima,2014,56259,Good,25187.15
Toyota,Altima,2010,70775,Excellent,28461.35
Chevrolet,Camry,2017,35981,Excellent,23201.05
Chevrolet,Silverado,2016,52022,Excellent,23398.9
Chevrolet,Altima,2014,87329,Good,23633.55
Toyota,Silverado,2017,12288,Excellent,24385.7
Honda,Civic,2022,142482,Excellent,12875.9
Honda,F-150,2011,35805,Excellent,29209.85
Nissan,Civic,2015,91550,Good,22422.6
Chevrolet,Altima,2020,125852,Excellent,15707.4
Nissan,Altima,2013,29419,Excellent,27529.15
Toyota,Altima,2017,82000,Excellent,20900.1
Chevrolet,Civic,2016,93459,Good,21327.15
Honda,Civic,2018,27846,Excellent,22607.6
Nissan,Camry,2018,13723,Excellent,23313.85
Toyota,Camry,2011,143351,Excellent,23832.55
Toyota,Civic,2015,80511,Excellent,22974.55
Honda,Civic,2022,98546,Good,15072.7
Honda,Altima,2022,66060,Excellent,16697.1
Chevrolet,F-150,2010,129583,Excellent,25520.85
Ford,F-150,2019,24578,Good,21771.2
Ford,Altima,2011,16447,Good,30177.65
Chevrolet,Civic,2014,52705,Excellent,25364.85
Toyota,Altima,2012,39118,Excellent,28044.2
Toyota,Altima,2012,139087,Excellent,23045.75
Toyota,Silverado,2016,129611,Fair,19519.45
Chevrolet,F-150,2014,82880,Excellent,23856.1
Nissan,Altima,2017,105416,Excellent,19729.2
Ford,F-150,2012,134181,Good,23291.05
Toyota,Civic,2016,80795,Excellent,21960.25
Honda,Silverado,2014,21339,Excellent,26933.15
Nissan,F-150,2013,48480,Good,26576.1
Chevrolet,Silverado,2012,133111,Good,23344.55
Honda,Silverado,2012,112469,Good,24376.65
Nissan,Silverado,2012,73578,Excellent,26321.2
Ford,Altima,2011,118056,Excellent,25097.3
Toyota,Camry,2011,57879,Excellent,28105.95
Nissan,Camry,2018,65718,Excellent,20714.1
Nissan,F-150,2021,60272,Fair,17986.5
Nissan,Camry,2010,54344,Excellent,29282.7
Chevrolet,Silverado,2014,106646,Good,22667.7
Chevrolet,Civic,2013,66247,Good,25687.75
Chevrolet,F-150,2021,40122,Excellent,18994
Ford,Silverado,2017,18119,Good,24094.05
Honda,Camry,2010,121674,Excellent,25916.2
Toyota,Camry,2020,107058,Excellent,16647
Nissan,F-150,2014,99627,Excellent,23018.55
Nissan,Camry,2016,95531,Excellent,21223.55
Toyota,Camry,2012,98006,Good,25099.8
Honda,Civic,2017,96018,Excellent,20199.2
Ford,Camry,2012,13306,Good,29334.8
Chevrolet,F-150,2012,61491,Excellent,26925.45
Chevrolet,Altima,2018,51008,Excellent,21449.6
Ford,Silverado,2016,102895,Excellent,20855.25
Chevrolet,F-150,2014,29491,Excellent,26525.55
Honda,F-150,2017,39333,Fair,23033.45
Ford,Altima,2014,28350,Excellent,26582.6
Honda,F-150,2020,116611,Fair,16169.55
Toyota,F-150,2013,29909,Fair,27504.65
Chevrolet,Camry,2010,136821,Good,25159.05
Toyota,Altima,2014,80948,Excellent,23952.7
Chevrolet,Camry,2014,71453,Excellent,24427.45
Chevrolet,Silverado,2010,116617,Excellent,26169.15
Toyota,Silverado,2017,131649,Excellent,18417.65
Honda,Altima,2010,114848,Excellent,26257.7
Honda,Civic,2014,17168,Good,27141.6
Toyota,F-150,2010,47014,Excellent,29649.4
Ford,Civic,2012,116576,Excellent,24171.1
Nissan,Camry,2019,53540,Excellent,20323
Honda,Altima,2021,149648,Good,13517.7
Honda,Altima,2010,123807,Excellent,25809.75
Honda,Camry,2014,96707,Fair,23164.75
Nissan,Altima,2018,88234,Excellent,19588.3
Nissan,Silverado,2014,90705,Excellent,23464.75
Honda,Altima,2021,142456,Good,13877.3
Honda,Silverado,2020,19789,Good,21010.55
Ford,Camry,2018,88406,Good,19579.7
Toyota,Silverado,2019,131966,Fair,16401.7
Honda,Altima,2022,33316,Excellent,18334.2
Nissan,F-150,2020,55979,Good,19201.15
Toyota,Silverado,2022,127604,Fair,13619.9
Toyota,Altima,2019,140224,Good,15988.8
Honda,Altima,2016,121615,Excellent,19919.35
Chevrolet,Civic,2022,107782,Excellent,14611
Toyota,Silverado,2011,124052,Excellent,24797.4
Nissan,Altima,2019,104878,Excellent,17756.2
Honda,Altima,2021,64317,Excellent,17784.25
Honda,Silverado,2012,143456,Excellent,22827.3
Honda,Silverado,2016,98304,Excellent,21084.9
Chevrolet,F-150,2021,122918,Good,14854.2
Chevrolet,Civic,2010,14506,Fair,31274.7
Honda,Camry,2013,24945,Fair,27752.85
Ford,Altima,2013,13416,Excellent,28329.3
Nissan,Altima,2020,24393,Good,20780.35
Chevrolet,Camry,2021,136237,Excellent,14188.05
Honda,Silverado,2020,31470,Excellent,20426.6
Honda,Altima,2021,63376,Excellent,17831.3
Honda,Silverado,2022,85972,Excellent,15701.5
Toyota,Camry,2017,54466,Good,22276.8
Nissan,Camry,2011,103788,Excellent,25810.7
Honda,Silverado,2011,87442,Excellent,26628
Ford,Altima,2011,76042,Good,27197.9
Honda,F-150,2013,36544,Excellent,27172.9
Nissan,Altima,2014,109684,Excellent,22515.7
Ford,Civic,2013,81670,Good,24916.6
Nissan,Altima,2018,97881,Excellent,19106.05
Honda,Silverado,2021,52464,Fair,18376.9
Ford,F-150,2013,121745,Excellent,22912.85
Honda,F-150,2014,103515,Good,22824.35
Ford,Camry,2020,30823,Excellent,20458.95
Nissan,Altima,2012,149794,Excellent,22510.4
Chevrolet,Civic,2017,16738,Excellent,24163.1
Nissan,Camry,2014,54608,Excellent,25269.7
Nissan,Altima,2022,47702,Excellent,17615
Ford,Camry,2021,61150,Excellent,17942.6
Nissan,F-150,2020,62934,Excellent,18853.4
Toyota,F-150,2021,111050,Excellent,15447.5
Nissan,Camry,2013,139970,Excellent,22001.6
Toyota,Altima,2019,48268,Excellent,20586.6
Ford,F-150,2013,102622,Excellent,23868.9
Ford,Civic,2014,58577,Excellent,25071.25
Ford,Camry,2017,97843,Good,20107.95
Ford,Camry,2022,29471,Excellent,18526.45
Chevrolet,Camry,2013,39120,Fair,27044.1
Toyota,Camry,2012,20345,Good,28982.85
Ford,Silverado,2010,65181,Good,28740.95
Ford,Camry,2017,91498,Excellent,20425.1
Nissan,Altima,2014,144681,Excellent,20766.05
Chevrolet,Civic,2019,122038,Good,16898.2
Toyota,Camry,2020,136729,Excellent,15163.45
Nissan,Silverado,2020,70547,Good,18472.55
Chevrolet,Altima,2014,91148,Excellent,23442.6
Nissan,F-150,2010,84697,Good,27765.05
Honda,Silverado,2015,147077,Excellent,19646.25
Ford,Civic,2021,75674,Excellent,17216.4
Chevrolet,Camry,2010,79677,Excellent,28016.25
Nissan,F-150,2014,37607,Good,26119.65
Honda,Silverado,2011,132239,Good,24388.15
Toyota,Camry,2010,139826,Excellent,25008.8
Honda,F-150,2011,33101,Good,29345.05
Toyota,Altima,2013,102901,Excellent,23854.85
Honda,Camry,2013,75318,Excellent,25234.1
Ford,Camry,2017,127836,Good,18608.2
Chevrolet,Altima,2020,146457,Excellent,14677.25
Nissan,Altima,2022,94256,Fair,15287.3
Honda,Silverado,2018,136777,Excellent,17161.25
Honda,Camry,2019,29100,Excellent,21545.1
Chevrolet,Camry,2021,79881,Good,17006.05
Chevrolet,Altima,2012,72070,Excellent,26396.6
Chevrolet,Civic,2011,63223,Excellent,27838.95
Toyota,Camry,2011,120615,Good,24969.15
Chevrolet,F-150,2018,81236,Fair,19938.2
Nissan,Civic,2020,96791,Excellent,17160.55
Chevrolet,F-150,2021,34932,Excellent,19253.5
Chevrolet,Silverado,2011,22768,Excellent,29861.7
Chevrolet,Silverado,2016,111433,Good,20428.35
Honda,Civic,2021,84577,Excellent,16771.05
Toyota,Altima,2022,66857,Good,16657.25
Honda,Camry,2016,141774,Good,18911.3
Ford,Civic,2012,55039,Excellent,27248.15
Toyota,Civic,2018,92293,Excellent,19385.45
Toyota,F-150,2015,50227,Fair,24488.75
Chevrolet,F-150,2020,146032,Good,14698.3
Chevrolet,F-150,2016,11712,Good,25414.4
Nissan,F-150,2011,10893,Excellent,30455.25
Chevrolet,F-150,2016,69357,Good,22532.15
Toyota,Silverado,2020,134241,Excellent,15287.95
Honda,F-150,2011,86503,Excellent,26674.95
Honda,F-150,2020,31423,Excellent,20428.85
Ford,F-150,2016,77119,Excellent,22143.95
Toyota,Civic,2020,19145,Excellent,21042.65
Chevrolet,Civic,2017,45739,Excellent,22713.15
Ford,Silverado,2019,28133,Excellent,21593.45
Ford,Civic,2019,105690,Excellent,17715.5
Chevrolet,Silverado,2020,119038,Excellent,16048.2
Toyota,Camry,2020,64221,Good,18789.05
Honda,Civic,2011,77760,Good,27111.9
Toyota,Camry,2014,33785,Good,26310.85
Toyota,F-150,2020,61104,Excellent,18944.8
Honda,F-150,2019,106037,Excellent,17698.25
Honda,Camry,2017,108648,Excellent,19567.6
Toyota,Altima,2020,101801,Excellent,16910.05
Chevrolet,Civic,2016,11795,Excellent,25410.35
Ford,F-150,2019,64700,Good,19765
Toyota,F-150,2021,42702,Excellent,18865
Toyota,Camry,2010,85004,Fair,27749.9
Toyota,F-150,2012,97595,Good,25120.35
Chevrolet,Altima,2021,135165,Excellent,14241.85
Toyota,F-150,2022,145864,Excellent,12706.9
Toyota,Civic,2021,133133,Excellent,14343.45
Chevrolet,Camry,2019,43995,Excellent,20800.35
Nissan,Camry,2014,131612,Fair,21419.5
Honda,Altima,2012,74521,Fair,26273.95
Ford,Silverado,2014,106467,Fair,22676.75
Honda,F-150,2013,77857,Excellent,25107.25
Chevrolet,F-150,2019,13554,Good,22322.4
Honda,Camry,2015,122891,Excellent,20855.55
Chevrolet,Altima,2010,89618,Good,27519.2
Ford,Camry,2010,74986,Fair,28250.7
Nissan,Silverado,2017,73340,Excellent,21333.1
Chevrolet,Altima,2015,148214,Excellent,19589.4
Honda,Civic,2015,122879,Excellent,20856.15
Ford,Altima,2017,45756,Good,22712.3
Ford,Camry,2017,149068,Good,17546.6
Honda,Silverado,2011,137472,Excellent,24126.4
Ford,F-150,2020,90987,Excellent,17450.65
Nissan,Camry,2017,123512,Excellent,18824.5
Ford,Civic,2017,116988,Excellent,19150.7
Toyota,Altima,2020,86137,Fair,17693.25
Toyota,F-150,2011,51340,Excellent,28433.1
Chevrolet,Silverado,2018,136757,Good,17162.15
Honda,Civic,2014,34734,Fair,26263.3
Honda,Altima,2016,80192,Excellent,21990.5
Nissan,Silverado,2019,123810,Excellent,16809.4
Chevrolet,Altima,2016,149200,Excellent,18540.1
Honda,Civic,2010,147306,Good,24634.7
Chevrolet,Camry,2020,107596,Good,16620.3
Toyota,F-150,2011,128818,Excellent,24559
Honda,Camry,2018,35305,Excellent,22234.75
Honda,Civic,2017,94183,Excellent,20290.85
Toyota,Altima,2020,42621,Good,19868.85
Chevrolet,Civic,2021,96118,Excellent,16194.2
Ford,F-150,2014,79483,Good,24025.85
Chevrolet,Altima,2017,133889,Excellent,18305.65
Nissan,Silverado,2013,59560,Excellent,26022
Toyota,Civic,2021,87129,Excellent,16643.65
Ford,F-150,2014,93807,Excellent,23309.75
Toyota,Camry,2011,108907,Good,25554.75
Ford,Altima,2015,61687,Good,23915.75
Chevrolet,Altima,2016,56247,Good,23187.75
Nissan,Altima,2022,15992,Fair,19200.5
Honda,Civic,2012,48331,Excellent,27583.55
Nissan,F-150,2013,106330,Good,23683.6
Toyota,Civic,2017,63826,Good,21808.8
Honda,Camry,2013,36782,Excellent,27160.9
Ford,F-150,2021,109551,Excellent,15522.55
Toyota,Camry,2011,124937,Excellent,24753.15
Ford,Camry,2010,99234,Excellent,27038.4
Honda,Camry,2012,102406,Excellent,24879.8
Honda,Altima,2022,140603,Excellent,12969.85
Nissan,Civic,2012,47534,Good,27623.3
Chevrolet,F-150,2011,50007,Fair,28499.75
Honda,Altima,2017,15545,Excellent,24222.85
Ford,Camry,2022,142080,Good,12896
Toyota,F-150,2021,127693,Excellent,14615.45
Ford,Altima,2010,63023,Excellent,28848.95
Chevrolet,Civic,2017,148254,Excellent,17587.3
Honda,Civic,2021,136606,Good,14169.6
Honda,Civic,2010,47611,Excellent,29619.55
Nissan,F-150,2014,106119,Excellent,22694.15
Toyota,Civic,2011,102926,Good,25853.8
Chevrolet,Camry,2019,120286,Excellent,16985.8
Nissan,Silverado,2022,72203,Excellent,16389.95
Toyota,Camry,2019,48503,Excellent,20574.85
Honda,Camry,2013,136202,Good,22190
Honda,Silverado,2019,122062,Good,16896.8
Toyota,Civic,2012,45294,Excellent,27735.4
Honda,Silverado,2020,104399,Fair,16780.05
Ford,Camry,2019,137827,Good,16108.65
Toyota,Altima,2013,108091,Excellent,23595.45
Honda,Altima,2010,68159,Excellent,28592.15
Nissan,Altima,2019,59808,Good,20009.7
Nissan,Silverado,2014,33890,Excellent,26305.6
Nissan,F-150,2017,125049,Good,18747.45
Honda,Civic,2019,30687,Fair,21465.75
Nissan,Altima,2022,56155,Good,17192.15
Chevrolet,Altima,2014,49867,Excellent,25506.75
Toyota,Civic,2011,113560,Excellent,25322
Toyota,Civic,2022,46699,Good,17665.15
Toyota,Altima,2010,81063,Excellent,27946.95
Nissan,Camry,2013,41285,Excellent,26935.75
Chevrolet,Altima,2010,109321,Good,26534.05
Ford,Silverado,2021,75482,Excellent,17226
Nissan,F-150,2018,75823,Good,20208.85
Chevrolet,Civic,2012,15826,Excellent,29208.8
Honda,Civic,2011,112032,Excellent,25398.3
Ford,Altima,2014,44172,Excellent,25791.5
Honda,F-150,2012,21025,Excellent,28948.65
Honda,Camry,2011,103575,Excellent,25821.35
Toyota,Civic,2011,53575,Good,28321.35
Toyota,Camry,2022,116465,Excellent,14176.85
Nissan,Civic,2010,37265,Fair,30136.75
Ford,Civic,2011,25277,Excellent,29736.15
Chevrolet,Silverado,2013,83668,Good,24816.7
Honda,Civic,2014,10120,Excellent,27494.1
Nissan,Civic,2014,36447,Good,26177.75
Chevrolet,Camry,2018,96151,Excellent,19192.55
Nissan,Silverado,2016,47829,Excellent,23608.65
Toyota,Camry,2010,145528,Excellent,24723.6
Nissan,Altima,2019,61278,Good,19936.1
Nissan,Altima,2012,21770,Excellent,28911.4
Ford,Silverado,2013,49622,Excellent,26519
Nissan,Silverado,2013,82654,Excellent,24867.2
Honda,Civic,2018,55849,Excellent,21207.65
Honda,Civic,2019,115299,Excellent,17235.05
Toyota,Camry,2012,29265,Excellent,28536.85
Nissan,Civic,2022,23865,Excellent,18806.85
Chevrolet,Civic,2019,84547,Excellent,18772.75
Nissan,F-150,2013,97585,Excellent,24120.85
Toyota,Civic,2015,22308,Fair,25884.5
Honda,Camry,2012,84092,Excellent,25795.5
Toyota,Civic,2014,94561,Fair,23271.95
Nissan,Altima,2021,84366,Excellent,16781.8
Nissan,Altima,2021,126719,Excellent,14664.05
Honda,Silverado,2014,75393,Good,24230.35
Toyota,F-150,2010,12923,Excellent,31353.95
Nissan,Altima,2012,43860,Excellent,27807.1
Nissan,Civic,2019,96715,Excellent,18164.35
Chevrolet,Camry,2016,105787,Good,20710.65
Toyota,Silverado,2010,115209,Excellent,26239.65
Toyota,Altima,2020,46725,Excellent,19663.85
Nissan,Civic,2013,108600,Excellent,23570
Ford,Altima,2019,30151,Good,21492.45
Ford,Altima,2015,82459,Excellent,22876.95
Chevrolet,Silverado,2010,22994,Good,30850.4
Ford,Altima,2012,114588,Good,24270.5
Ford,Civic,2012,138655,Good,23067.35
Ford,F-150,2021,26938,Excellent,19653.2
Ford,Camry,2022,60341,Excellent,16983.05
Toyota,Altima,2014,117813,Excellent,22109.35
Ford,F-150,2012,32250,Excellent,28387.6
Honda,Camry,2020,75326,Excellent,18233.7
Chevrolet,F-150,2013,44970,Good,26751.4
Nissan,Civic,2010,40889,Good,29955.55
Honda,Camry,2018,104690,Good,18765.5
Ford,Altima,2012,34266,Fair,28286.7
Toyota,F-150,2016,116714,Fair,20164.4
Honda,Camry,2010,61450,Excellent,28927.6
Ford,F-150,2015,79970,Excellent,23001.4
Chevrolet,F-150,2013,19440,Good,28028
Honda,Silverado,2010,94434,Excellent,27278.4
Chevrolet,Altima,2018,86446,Fair,19677.8
Chevrolet,Civic,2022,70874,Good,16456.4
Toyota,F-150,2019,140645,Excellent,15967.85
Chevrolet,Camry,2018,19475,Excellent,23026.35
Chevrolet,Altima,2012,126659,Excellent,23667.15
Toyota,Altima,2011,60733,Excellent,27963.45
Chevrolet,Civic,2016,97889,Good,21105.55
Ford,Camry,2010,54309,Excellent,29284.65
Ford,Camry,2012,135239,Excellent,23238.05
Ford,Silverado,2012,111072,Excellent,24446.5
Nissan,Civic,2018,97741,Excellent,19113.05
Chevrolet,Civic,2020,95720,Excellent,17214.1
Nissan,F-150,2011,41636,Fair,28918.2
Ford,Camry,2021,21971,Fair,19901.55
Honda,Silverado,2020,31688,Excellent,20415.7
Chevrolet,Altima,2013,70354,Excellent,25482.3
Chevrolet,F-150,2018,101911,Good,18904.45
Ford,Altima,2019,30538,Good,21473.2
Ford,Camry,2011,13052,Excellent,30347.4
Chevrolet,Altima,2011,38801,Excellent,29060.05
Chevrolet,Camry,2013,114013,Excellent,23299.35
Toyota,F-150,2021,110323,Good,15483.95
Ford,Civic,2016,74780,Excellent,22261
Chevrolet,F-150,2018,68977,Fair,20551.25
Honda,Camry,2017,24030,Excellent,23798.4
Chevrolet,Civic,2018,105608,Good,18719.7
Honda,Civic,2016,38708,Excellent,24064.7
Nissan,Altima,2018,136627,Excellent,17168.65
Honda,F-150,2017,77391,Good,21130.55
Honda,F-150,2016,81032,Good,21948.5
Ford,Altima,2022,42956,Excellent,17852.3
Honda,Altima,2011,137181,Fair,24141.05
Chevrolet,Silverado,2015,85619,Good,22719.05
Ford,Silverado,2014,110014,Excellent,22499.3
Toyota,Camry,2022,121039,Good,13947.95
Nissan,F-150,2011,81738,Excellent,26913
Chevrolet,Altima,2017,125611,Excellent,18719.55
Toyota,Camry,2010,88965,Excellent,27551.85
Ford,Camry,2021,108001,Excellent,15600.05
Ford,Camry,2019,13201,Good,22340.05
Ford,Camry,2022,12737,Good,19363.25
Chevrolet,F-150,2014,93523,Excellent,23323.95
Chevrolet,Altima,2018,56474,Excellent,21176.4
Chevrolet,Civic,2014,100753,Good,22962.45
Nissan,Altima,2016,106614,Fair,20669.4
Chevrolet,Civic,2015,133193,Good,20340.25
Honda,Altima,2020,135632,Excellent,15218.5
Toyota,Civic,2013,49994,Excellent,26500.2
Toyota,Altima,2022,75254,Excellent,16237.4
Ford,F-150,2013,134117,Excellent,22294.25
Toyota,Altima,2017,23845,Good,23807.85
Toyota,Silverado,2013,54943,Excellent,26252.95
Nissan,Camry,2015,19070,Good,26046.6
Ford,Silverado,2019,70356,Excellent,19482.3
Nissan,Altima,2016,67134,Good,22643.4
Chevrolet,F-150,2018,96149,Excellent,19192.65
Ford,Camry,2015,16105,Excellent,26194.65
Ford,Civic,2016,12784,Excellent,25360.9
Ford,F-150,2012,94169,Excellent,25291.45
Ford,Altima,2017,78336,Fair,21083.2
Honda,Silverado,2017,125701,Good,18715.05
Toyota,Civic,2013,73364,Excellent,25331.8
Chevrolet,Altima,2020,122285,Good,15885.75
Honda,Camry,2011,57068,Excellent,28146.6
Nissan,F-150,2013,98891,Excellent,24055.45
Toyota,Silverado,2010,70053,Excellent,28497.45
Honda,F-150,2016,133334,Good,19333.3
Honda,Camry,2012,72053,Good,26397.35
Chevrolet,Altima,2017,50986,Good,22450.8
Ford,Altima,2013,66767,Excellent,25661.65
Chevrolet,Silverado,2010,127943,Excellent,25602.85
Ford,F-150,2017,89206,Excellent,20539.7
Honda,Civic,2018,103726,Good,18813.8
Chevrolet,Camry,2021,130741,Fair,14462.95
Chevrolet,Altima,2015,74527,Excellent,23273.65
Toyota,Altima,2014,107263,Excellent,22636.95
Toyota,Altima,2019,64217,Excellent,19789.25
Toyota,F-150,2011,37478,Fair,29126.2
Nissan,Altima,2022,41167,Excellent,17941.75
Toyota,Altima,2018,27348,Excellent,22632.7
Nissan,Altima,2013,109094,Excellent,23545.4
Toyota,Camry,2012,136407,Excellent,23179.75
Chevrolet,Altima,2022,69882,Good,16505.8
Toyota,Camry,2014,127738,Excellent,21613.2
Toyota,F-150,2016,51451,Good,23427.55
Ford,Civic,2013,53898,Excellent,26305.1
Honda,Altima,2012,113390,Good,24330.6
Honda,Silverado,2015,50874,Excellent,24456.4
Nissan,Camry,2010,149032,Excellent,24548.5
Chevrolet,F-150,2014,20608,Excellent,26969.7
Ford,Altima,2016,109851,Good,20507.55
Toyota,Silverado,2010,11704,Good,31414.9
Nissan,Silverado,2017,128390,Excellent,18580.6
